scenario,fold,model,train_rows,calibration_rows,validation_rows,test_rows,accuracy,brier,log_loss,roc_auc,ece,realized_positive_rate,predicted_positive_rate,net_return,passive_return,passive_gross_return,annualized_volatility,sharpe,max_drawdown,turnover,trading_cost,average_exposure,entries,cost_multiplier,threshold
naive,8,ridge_logistic,5380,359,360,360,0.5055555555555555,0.25461467499100565,0.7024986869540444,0.5283985677244105,0.0732224773191137,0.5055555555555555,0.5787780328746692,-0.055830155028566586,-0.20514042238699215,-0.2011573713752033,0.06303726720605941,-5.512037925019557,-0.055830155028566586,18.199999999999996,0.0455,0.05444444444444444,26.0,1.0,0.6
naive,8,lightgbm,5380,359,360,360,0.5055555555555555,0.2501329398142656,0.6934133286483857,0.4916039017162613,0.012467804971599494,0.5055555555555555,0.518023360527155,0.0,-0.20514042238699215,-0.2011573713752033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,8,catboost,5380,359,360,360,0.5,0.2554719495630173,0.7042759869560131,0.507223113964687,0.07635079641699469,0.5055555555555555,0.5758487346482045,-0.09549566526854825,-0.20514042238699215,-0.2011573713752033,0.15110424142926318,-3.964563846641525,-0.09807705279106627,19.599999999999998,0.048999999999999995,0.28194444444444444,28.0,1.0,0.55
naive,9,trend,5740,359,360,360,,,,,,,,-0.018454776760930325,-0.24968451099688893,-0.24591949016551384,0.04686625251259755,-2.3943559314365404,-0.02798906655817901,1.4,0.0034999999999999996,0.05444444444444444,2.0,1.0,
naive,9,prior,5740,359,360,360,0.49166666666666664,0.2504900515462584,0.6941276640573836,0.5,0.0236536675951719,0.5083333333333333,0.4846796657381614,0.0,-0.24968451099688893,-0.24591949016551384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,9,ridge_logistic,5740,359,360,360,0.5,0.2503146491160854,0.6937766162475304,0.48192399123213236,0.017215386287361873,0.5083333333333333,0.49111794704597145,0.0,-0.24968451099688893,-0.24591949016551384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,9,lightgbm,5740,359,360,360,0.475,0.25831902017058056,0.710255987047936,0.45944861226884004,0.07540343016582471,0.5083333333333333,0.5337710976422002,-0.10312892138895846,-0.24968451099688893,-0.24591949016551384,0.08912168634496469,-7.383618355110425,-0.10312892138895846,23.099999999999998,0.05775,0.051527777777777777,33.0,1.0,0.6
naive,9,catboost,5740,359,360,360,0.4861111111111111,0.2523089157556214,0.6977943346696139,0.47923805995492574,0.036564397430037684,0.5083333333333333,0.5029839853393224,-0.038869888789712315,-0.24968451099688893,-0.24591949016551384,0.0854521755359133,-2.77936856105628,-0.06485505323341045,13.999999999999998,0.034999999999999996,0.02722222222222222,20.0,1.0,0.55
naive,10,trend,6100,359,360,360,,,,,,,,-0.01753203645755974,0.16427233000087327,0.17018042529906374,0.09090811879153879,-1.138126538281643,-0.04587522741359151,2.0999999999999996,0.0052499999999999995,0.16819444444444445,3.0,1.0,
naive,10,prior,6100,359,360,360,0.5027777777777778,0.25004088612320235,0.6932289752212613,0.5,0.006971525843392223,0.5027777777777778,0.50974930362117,0.0,0.16427233000087327,0.17018042529906374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,10,ridge_logistic,6100,359,360,360,0.45555555555555555,0.2512313681946151,0.6956116769022945,0.4673601037069045,0.06162608212850172,0.5027777777777778,0.5155335354962768,0.009498457189101916,0.16427233000087327,0.17018042529906374,0.025771311625497874,2.244399467208434,-0.006430684923137919,2.0999999999999996,0.0052499999999999995,0.00486111111111111,3.0,1.0,0.55
naive,10,lightgbm,6100,359,360,360,0.5027777777777778,0.25001332096114937,0.6931738214397725,0.5267755177628939,0.006756634160904107,0.5027777777777778,0.5095344119386819,0.0,0.16427233000087327,0.17018042529906374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,10,catboost,6100,359,360,360,0.55,0.24920510347131253,0.6915611115299308,0.5498935152319516,0.033795512269227036,0.5027777777777778,0.497348466684888,-0.0040848806363912304,0.16427233000087327,0.17018042529906374,0.008195342713511699,-3.034258883092898,-0.0040848806363912304,0.7,0.0017499999999999998,0.0009722222222222222,1.0,1.0,0.55
naive,11,trend,6460,359,360,360,,,,,,,,-0.0017224271156506266,-0.22298330944751932,-0.21909073196077133,0.04754537589678229,-0.19678235261231608,-0.015836931544953692,0.7,0.0017499999999999998,0.05541666666666668,1.0,1.0,
naive,11,prior,6460,359,360,360,0.475,0.2505825141021562,0.6943123684935743,0.5,0.034749303621170013,0.475,0.50974930362117,-0.08160510882440297,-0.22298330944751932,-0.21909073196077133,0.14351677435476912,-3.536124408869104,-0.10715402857526413,0.7,0.0017499999999999998,0.35000000000000003,1.0,1.0,0.5
naive,11,ridge_logistic,6460,359,360,360,0.475,0.2505959707361264,0.6943392921449496,0.4342027909279371,0.03481470534892206,0.475,0.509814705348922,-0.08160510882440297,-0.22298330944751932,-0.21909073196077133,0.14351677435476912,-3.536124408869104,-0.10715402857526413,0.7,0.0017499999999999998,0.35000000000000003,1.0,1.0,0.5
naive,11,lightgbm,6460,359,360,360,0.49722222222222223,0.24997486851669196,0.6930958449657202,0.535319780933816,0.03566843793688178,0.475,0.5106684379368819,-0.1514267211127709,-0.22298330944751932,-0.21909073196077133,0.13304853624744414,-7.439282478984992,-0.16645487222669453,28.0,0.06999999999999999,0.29944444444444446,40.0,1.0,0.5
