scenario,fold,model,net_return,passive_return,passive_gross_return,annualized_volatility,sharpe,max_drawdown,turnover,trading_cost,average_exposure,entries,cost_multiplier,threshold
naive,3,prior,-0.03838751810541141,-0.12212042722522043,-0.1154849225753869,0.2095709010695608,-1.0315046230346334,-0.10060223462646156,0.7030678874577291,0.002636504577966484,0.3495106001667053,1.0,1.5,0.5
naive,3,prior,-0.039233972212271095,-0.12432671035610499,-0.1154849225753869,0.2096203540663366,-1.0567656928529625,-0.100602234626463,0.7030678874577291,0.0035153394372886455,0.3495106001667053,1.0,2.0,0.5
naive,3,ridge_logistic,-0.04153153960564682,-0.11991136821814041,-0.1154849225753869,0.209406878025466,-1.127603295979187,-0.10060223462646278,2.103067887457729,0.005257669718644322,0.3475661557222609,3.0,1.0,0.5
naive,3,ridge_logistic,-0.04405097015857595,-0.12212042722522043,-0.1154849225753869,0.2094918950931443,-1.203483144193586,-0.10060223462646134,2.103067887457729,0.007886504577966484,0.3475661557222609,3.0,1.5,0.5
naive,3,ridge_logistic,-0.04656485517246489,-0.12432671035610499,-0.1154849225753869,0.20960901396399945,-1.2791055033700118,-0.10060223462646256,2.103067887457729,0.010515339437288645,0.3475661557222609,3.0,2.0,0.5
naive,3,lightgbm,-0.10657553053125524,-0.11991136821814041,-0.1154849225753869,0.07128639050382875,-9.579609571579864,-0.11195629776428717,24.5,0.06124999999999999,0.044722222222222205,35.0,1.0,0.55
naive,3,lightgbm,-0.13356860424782258,-0.12212042722522043,-0.1154849225753869,0.07483869439204824,-11.614284284194367,-0.13356860424782258,24.5,0.09187499999999998,0.044722222222222205,35.0,1.5,0.55
naive,3,lightgbm,-0.1597574377119948,-0.12432671035610499,-0.1154849225753869,0.07906470754394195,-13.349824317934864,-0.1597574377119948,24.5,0.12249999999999998,0.044722222222222205,35.0,2.0,0.55
naive,3,catboost,-0.03864574845375068,-0.11991136821814041,-0.1154849225753869,0.14265390425682398,-1.6096773194481793,-0.09482623047609107,46.88887530190493,0.1172221882547623,0.13382382902780796,67.0,1.0,0.5
naive,3,catboost,-0.09341282402742912,-0.12212042722522043,-0.1154849225753869,0.14407108973441596,-4.068669001544658,-0.13965753131547154,46.88887530190493,0.17583328238214346,0.13382382902780796,67.0,1.5,0.5
